fecha,dia_semana,es_fin_de_semana,n_total,n_low,n_medium,n_high,n_presentes,N02BE_demand,N05B_demand,M01AB_demand,total_demand,nombre_dia,mes,N02BE_demand_lag1,N02BE_demand_lag7,N02BE_demand_rolling7,N05B_demand_lag1,N05B_demand_lag7,N05B_demand_rolling7,M01AB_demand_lag1,M01AB_demand_lag7,M01AB_demand_rolling7
2014-01-09,3,0,103,60,28,15,103,171.11,38.15,20.7,229.96,Jueves,1,181.34,222.17,186.2028571428571,45.42,15.35,27.592857142857145,15.56,0.12,13.545714285714284
2014-01-10,4,0,103,60,28,15,103,366.32,35.62,14.82,416.76,Viernes,1,171.11,347.97,188.8242857142857,38.15,35.6,27.595714285714287,20.7,25.48,12.022857142857145
2014-01-11,5,1,100,58,29,13,70,245.55,30.9,14.14,290.59,Sabado,1,366.32,268.73,185.51285714285714,35.62,19.84,29.17571428571429,14.82,6.37,13.132857142857144
2014-01-12,6,1,99,58,28,13,63,52.12,15.36,5.87,73.35,Domingo,1,245.55,187.14,166.2242857142857,30.9,16.71,28.982857142857142,14.14,12.45,12.192857142857141
2014-01-13,0,0,101,59,30,12,101,348.3,20.28,17.73,386.31000000000006,Lunes,1,52.12,147.13,194.96285714285713,15.36,37.07,26.584285714285716,5.87,13.49,12.79857142857143
2014-01-14,1,0,102,58,31,13,102,230.25,16.22,14.69,261.16,Martes,1,348.3,0.0,227.8557142857143,20.28,0.36,28.849999999999998,17.73,0.77,14.787142857142856
2014-01-15,2,0,105,62,28,15,105,187.79,29.43,11.56,228.78,Miercoles,1,230.25,181.34,228.77714285714288,16.22,45.42,26.565714285714282,14.69,15.56,14.215714285714284
2014-01-16,3,0,104,61,28,15,104,199.07,45.32,18.36,262.75,Jueves,1,187.79,171.11,232.77142857142854,29.43,38.15,27.59,11.56,20.7,13.881428571428572
2014-01-17,4,0,103,61,28,14,103,141.29,35.86,5.98,183.13,Viernes,1,199.07,366.32,200.6242857142857,45.32,35.62,27.624285714285715,18.36,14.82,12.618571428571428
2014-01-18,5,1,103,60,29,14,68,195.94,34.6,3.02,233.56,Sabado,1,141.29,245.55,193.53714285714287,35.86,30.9,28.15285714285714,5.98,14.14,11.03
2014-01-19,6,1,103,59,30,14,66,62.07,8.64,11.47,82.18,Domingo,1,195.94,52.12,194.95857142857145,34.6,15.36,27.192857142857147,3.02,5.87,11.83
2014-01-20,0,0,106,60,31,15,106,86.23,47.41,17.72,151.36,Lunes,1,62.07,348.3,157.51999999999998,8.64,20.28,31.06857142857143,11.47,17.73,11.828571428571431
2014-01-21,1,0,105,59,31,15,105,296.33,38.55,6.0,340.88,Martes,1,86.23,230.25,166.96,47.41,16.22,34.25857142857143,17.72,14.69,10.58714285714286
2014-01-22,2,0,105,60,30,15,105,131.83,27.26,21.54,180.63,Miercoles,1,296.33,187.79,158.96571428571428,38.55,29.43,33.94857142857143,6.0,11.56,12.012857142857143
2014-01-23,3,0,105,58,33,14,105,185.57,5.81,11.56,202.94,Jueves,1,131.83,199.07,157.03714285714287,27.26,45.32,28.304285714285715,21.54,18.36,11.041428571428572
2014-01-24,4,0,104,57,33,14,104,140.51,35.54,12.23,188.28,Viernes,1,185.57,141.29,156.9257142857143,5.81,35.86,28.25857142857143,11.56,5.98,11.934285714285716
2014-01-25,5,1,105,59,32,14,71,178.45,41.43,16.06,235.94,Sabado,1,140.51,195.94,154.42714285714285,35.54,34.6,29.23428571428571,12.23,3.02,13.797142857142859
2014-01-26,6,1,105,60,31,14,66,105.49,9.1,12.37,126.96,Domingo,1,178.45,62.07,160.63000000000002,41.43,8.64,29.3,16.06,11.47,13.925714285714287
2014-01-27,0,0,105,61,30,14,105,165.91,41.76,12.17,219.84,Lunes,1,105.49,86.23,172.01285714285714,9.1,47.41,28.492857142857144,12.37,17.72,13.132857142857143
2014-01-28,1,0,105,62,30,13,105,95.72,53.73,15.9,165.35,Martes,1,165.91,296.33,143.3542857142857,41.76,38.55,30.66142857142857,12.17,6.0,14.547142857142859
2014-01-29,2,0,102,58,30,14,102,96.72,24.63,15.37,136.72,Miercoles,1,95.72,131.83,138.33857142857144,53.73,27.26,30.285714285714285,15.9,21.54,13.665714285714285
2014-01-30,3,0,102,58,31,13,102,174.53,17.26,7.85,199.64,Jueves,1,96.72,185.57,136.76142857142855,24.63,5.81,31.92142857142857,15.37,11.56,13.135714285714286
2014-01-31,4,0,102,57,32,13,102,184.62,22.95,2.24,209.81,Viernes,1,174.53,140.51,143.06285714285713,17.26,35.54,30.12285714285714,7.85,12.23,11.708571428571428
2014-02-01,5,1,102,59,30,13,72,206.03,28.13,10.46,244.62,Sabado,2,184.62,178.45,147.00285714285715,22.95,41.43,28.222857142857144,2.24,16.06,10.908571428571431
