fecha,dia_semana,es_fin_de_semana,n_total,n_low,n_medium,n_high,n_presentes,N02BE_demand,N05B_demand,M01AB_demand,total_demand
2014-01-02,3,0,103,63,24,16,103,222.17,15.35,15.0,237.64
2014-01-03,4,0,104,64,24,16,104,261.085,25.475,20.240000000000002,409.05000000000007
2014-01-04,5,1,101,60,26,15,65,263.6333333333333,23.596666666666668,18.493333333333336,294.94
2014-01-05,6,1,101,60,26,15,69,244.51,21.875,17.62,216.3
2014-01-06,0,0,100,60,26,14,100,225.03400000000002,24.914,17.096,197.69
2014-01-07,1,0,102,61,27,14,102,207.86166666666668,28.331666666666667,16.84,1.13
2014-01-08,2,0,103,61,28,14,103,204.07285714285715,30.772857142857145,16.657142857142855,242.32
2014-01-09,3,0,103,60,28,15,103,196.7785714285714,34.03,17.47142857142857,229.96
2014-01-10,4,0,103,60,28,15,103,196.7785714285714,34.03285714285715,15.974285714285713,416.76
2014-01-11,5,1,100,58,29,13,70,193.46714285714285,35.612857142857145,15.974285714285713,290.59
2014-01-12,6,1,99,58,28,13,63,174.17857142857142,35.42,16.09857142857143,73.35
2014-01-13,0,0,101,59,30,12,101,196.01714285714283,33.02142857142857,16.488571428571426,386.31000000000006
2014-01-14,1,0,102,58,31,13,102,211.48142857142855,28.849999999999998,16.408571428571427,261.16
2014-01-15,2,0,105,62,28,15,105,212.40285714285713,26.565714285714282,16.328571428571426,228.78
2014-01-16,3,0,104,61,28,15,104,216.39714285714288,27.59,15.994285714285715,262.75
2014-01-17,4,0,103,61,28,14,103,193.72428571428574,27.624285714285715,16.134285714285713,183.13
2014-01-18,5,1,103,60,29,14,68,186.63714285714286,28.15285714285714,16.134285714285713,233.56
2014-01-19,6,1,103,59,30,14,66,188.05857142857144,28.101428571428574,16.009999999999998,82.18
2014-01-20,0,0,106,60,31,15,106,157.52,31.97714285714286,16.00857142857143,151.36
2014-01-21,1,0,105,59,31,15,105,166.96,35.167142857142856,16.15142857142857,340.88
2014-01-22,2,0,105,60,30,15,105,158.96571428571428,34.857142857142854,17.085714285714285,180.63
2014-01-23,3,0,105,58,33,14,105,157.03714285714287,30.525714285714287,16.60571428571429,202.94
2014-01-24,4,0,104,57,33,14,104,156.9257142857143,30.479999999999997,16.465714285714288,188.28
2014-01-25,5,1,105,59,32,14,71,154.42714285714285,31.455714285714286,16.617142857142856,235.94
2014-01-26,6,1,105,60,31,14,66,160.62999999999997,31.455714285714286,16.617142857142856,126.96
2014-01-27,0,0,105,61,30,14,105,172.01285714285714,30.648571428571426,16.228571428571428,219.84
2014-01-28,1,0,105,62,30,13,105,143.3542857142857,32.817142857142855,16.214285714285715,165.35
2014-01-29,2,0,102,58,30,14,102,138.3385714285714,32.44142857142857,15.332857142857142,136.72
2014-01-30,3,0,102,58,31,13,102,136.76142857142858,32.76428571428571,15.332857142857142,199.64
2014-01-31,4,0,102,57,32,13,102,143.06285714285715,30.965714285714284,15.332857142857142,209.81
2014-02-01,5,1,102,59,30,13,72,147.00285714285715,29.065714285714282,15.181428571428572,244.62
2014-02-02,6,1,103,60,28,15,74,141.07142857142858,29.065714285714282,15.998571428571429,97.89
2014-02-03,0,0,102,59,28,15,102,149.12857142857143,28.592857142857145,16.0,275.77
2014-02-04,1,0,102,58,26,18,102,165.26571428571427,24.07,15.87142857142857,235.1
2014-02-05,2,0,103,58,28,17,103,182.94285714285712,26.25857142857143,15.818571428571428,271.13000000000005
2014-02-06,3,0,101,54,30,17,101,197.8085714285714,30.240000000000002,16.0,334.98999999999995
2014-02-07,4,0,102,55,29,18,102,191.84285714285716,34.348571428571425,16.0,204.25000000000003
2014-02-08,5,1,102,56,29,17,66,185.58142857142857,34.49285714285715,16.0,202.93
