fecha,dia_semana,es_fin_de_semana,n_total,n_low,n_medium,n_high,n_presentes,N02BE_demand,N05B_demand,M01AB_demand,total_demand
2014-01-02,3,0,103,63,24,16,103,222.17,15.35,0.12,237.64
2014-01-03,4,0,104,64,24,16,104,347.97,35.6,25.48,409.05000000000007
2014-01-04,5,1,101,60,26,15,65,268.73,19.84,6.37,294.94
2014-01-05,6,1,101,60,26,15,69,187.14,16.71,12.45,216.29999999999998
2014-01-06,0,0,100,60,26,14,100,147.13,37.07,13.49,197.69
2014-01-07,1,0,102,61,27,14,102,0.0,0.36,0.77,1.13
2014-01-08,2,0,103,61,28,14,103,181.34,45.42,15.56,242.32
2014-01-09,3,0,103,60,28,15,103,171.11,38.15,20.7,229.96
2014-01-10,4,0,103,60,28,15,103,366.32,35.62,14.82,416.76
2014-01-11,5,1,100,58,29,13,70,245.55,30.9,14.14,290.59
2014-01-12,6,1,99,58,28,13,63,52.12,15.36,5.87,73.35
2014-01-13,0,0,101,59,30,12,101,348.3,20.28,17.73,386.31000000000006
2014-01-14,1,0,102,58,31,13,102,230.25,16.22,14.69,261.16
2014-01-15,2,0,105,62,28,15,105,187.79,29.43,11.56,228.78
2014-01-16,3,0,104,61,28,15,104,199.07,45.32,18.36,262.75
2014-01-17,4,0,103,61,28,14,103,141.29,35.86,5.98,183.12999999999997
2014-01-18,5,1,103,60,29,14,68,195.94,34.6,3.02,233.56
2014-01-19,6,1,103,59,30,14,66,62.07,8.64,11.47,82.18
2014-01-20,0,0,106,60,31,15,106,86.23,47.41,17.72,151.35999999999999
2014-01-21,1,0,105,59,31,15,105,296.33,38.55,6.0,340.88
2014-01-22,2,0,105,60,30,15,105,131.83,27.26,21.54,180.63
2014-01-23,3,0,105,58,33,14,105,185.57,5.81,11.56,202.94
2014-01-24,4,0,104,57,33,14,104,140.51,35.54,12.23,188.27999999999997
2014-01-25,5,1,105,59,32,14,71,178.45,41.43,16.06,235.94
2014-01-26,6,1,105,60,31,14,66,105.49,9.1,12.37,126.96
2014-01-27,0,0,105,61,30,14,105,165.91,41.76,12.17,219.83999999999997
2014-01-28,1,0,105,62,30,13,105,95.72,53.73,15.9,165.35
2014-01-29,2,0,102,58,30,14,102,96.72,24.63,15.37,136.72
2014-01-30,3,0,102,58,31,13,102,174.53,17.26,7.85,199.64
2014-01-31,4,0,102,57,32,13,102,184.62,22.95,2.24,209.81
2014-02-01,5,1,102,59,30,13,72,206.03,28.13,10.46,244.62
2014-02-02,6,1,103,60,28,15,74,63.97,13.2,20.72,97.89
2014-02-03,0,0,102,59,28,15,102,222.31,38.45,15.01,275.77
2014-02-04,1,0,102,58,26,18,102,208.68,22.07,4.35,235.1
2014-02-05,2,0,103,58,28,17,103,220.46,39.95,10.72,271.13000000000005
2014-02-06,3,0,101,54,30,17,101,278.59,45.13,11.27,334.98999999999995
2014-02-07,4,0,102,55,29,18,102,142.86,51.71,9.68,204.25000000000003
2014-02-08,5,1,102,56,29,17,66,162.2,29.14,11.59,202.92999999999998
2014-02-09,6,1,102,56,29,17,69,148.56,21.77,12.66,182.99
2014-02-10,0,0,101,57,27,17,101,270.64,50.06,16.42,337.12
2014-02-11,1,0,100,56,26,18,100,297.1,48.9,35.71,381.71
2014-02-12,2,0,100,56,26,18,100,489.96,22.25,32.07,544.2800000000001
2014-02-13,3,0,101,56,27,18,101,332.68,33.35,17.02,383.05
2014-02-14,4,0,101,56,27,18,101,287.85,32.39,13.76,334.0
2014-02-15,5,1,101,56,27,18,71,173.87,19.96,4.04,197.87
2014-02-16,6,1,101,59,24,18,72,167.47,11.06,0.0,178.53
2014-02-17,0,0,98,58,22,18,98,177.89,28.39,26.3,232.57999999999998
2014-02-18,1,0,98,58,21,19,98,296.32,31.89,27.25,355.46
2014-02-19,2,0,98,58,21,19,98,439.65,37.83,12.99,490.46999999999997
2014-02-20,3,0,98,57,22,19,98,138.6,37.13,26.34,202.07
2014-02-21,4,0,100,59,22,19,100,172.21,38.95,21.63,232.79000000000002
2014-02-22,5,1,102,60,22,20,67,114.44,26.77,27.6,168.81
2014-02-23,6,1,103,60,23,20,66,94.73,21.51,3.84,120.08000000000001
2014-02-24,0,0,103,59,25,19,103,180.51,8.16,27.17,215.83999999999997
2014-02-25,1,0,105,61,24,20,105,245.93,33.65,20.66,300.24
2014-02-26,2,0,104,60,24,20,104,235.36,12.27,19.65,267.28000000000003
2014-02-27,3,0,102,58,24,20,102,225.71,21.55,11.79,259.05
2014-02-28,4,0,101,56,25,20,101,246.82,30.23,27.26,304.31
2014-03-01,5,1,102,60,22,20,75,252.78,17.73,25.06,295.57
2014-03-02,6,1,103,61,22,20,68,33.01,5.34,13.91,52.25999999999999
2014-03-03,0,0,103,61,23,19,103,149.73,3.08,14.98,167.79
2014-03-04,1,0,103,61,22,20,103,324.77,21.67,20.59,367.03
2014-03-05,2,0,103,62,20,21,103,169.58,11.02,12.89,193.49
2014-03-06,3,0,102,63,18,21,102,304.1,37.75,11.66,353.51000000000005
2014-03-07,4,0,99,59,20,20,99,165.85,5.8,16.1,187.75
2014-03-08,5,1,101,60,20,21,69,123.91,22.98,18.12,165.01
2014-03-09,6,1,101,61,19,21,66,47.96,9.07,4.42,61.45
2014-03-10,0,0,101,59,21,21,101,317.71,26.06,28.75,372.52
2014-03-11,1,0,101,58,23,20,101,205.11,29.76,23.93,258.8
2014-03-12,2,0,101,57,23,21,101,129.67,55.1,26.55,211.32
2014-03-13,3,0,104,59,23,22,104,106.9,25.1,10.21,142.21
2014-03-14,4,0,105,61,22,22,105,111.35,27.42,19.5,158.26999999999998
2014-03-15,5,1,107,61,21,25,78,118.81,43.81,19.36,181.98000000000002
2014-03-16,6,1,106,60,19,27,68,57.56,14.4,13.96,85.92000000000002
2014-03-17,0,0,105,61,18,26,105,260.05,15.4,44.98,320.43
2014-03-18,1,0,107,61,20,26,107,148.69,22.83,41.64,213.15999999999997
2014-03-19,2,0,107,61,20,26,107,157.02,6.28,20.24,183.54000000000002
2014-03-20,3,0,106,60,21,25,106,270.9,12.47,15.01,298.38
2014-03-21,4,0,105,57,22,26,105,281.96,11.95,31.4,325.30999999999995
2014-03-22,5,1,105,57,23,25,78,138.15,24.48,16.17,178.8
2014-03-23,6,1,106,56,25,25,74,96.51,0.0,31.76,128.27
2014-03-24,0,0,104,55,23,26,104,164.18,19.01,29.43,212.62
2014-03-25,1,0,101,53,23,25,101,260.36,16.94,20.23,297.53000000000003
2014-03-26,2,0,102,54,21,27,102,47.85,20.1,13.21,81.16
2014-03-27,3,0,101,54,19,28,101,141.56,15.72,21.89,179.17000000000002
2014-03-28,4,0,104,56,20,28,104,75.14,9.38,15.1,99.61999999999999
2014-03-29,5,1,104,56,21,27,72,114.25,21.33,21.32,156.89999999999998
2014-03-30,6,1,105,57,22,26,78,62.52,12.57,15.48,90.57000000000001
2014-03-31,0,0,104,55,23,26,104,106.71,15.87,27.68,150.26
2014-04-01,1,0,104,55,23,26,104,189.07,15.65,22.6,227.32
2014-04-02,2,0,104,54,23,27,104,159.17,3.03,10.21,172.41
2014-04-03,3,0,104,54,24,26,104,132.43,12.39,5.11,149.93
2014-04-04,4,0,105,55,24,26,105,165.2,24.84,15.9,205.94
2014-04-05,5,1,105,56,24,25,78,133.85,12.96,10.52,157.33
2014-04-06,6,1,105,57,23,25,73,94.34,1.18,10.49,106.01
2014-04-07,0,0,105,59,21,25,105,219.69,11.39,31.24,262.32
2014-04-08,1,0,105,59,22,24,105,135.06,16.81,21.3,173.17000000000002
2014-04-09,2,0,105,58,22,25,105,126.17,6.04,29.83,162.04000000000002
2014-04-10,3,0,105,58,24,23,105,126.63,27.0,15.15,168.78
2014-04-11,4,0,105,58,24,23,105,177.66,5.92,26.89,210.46999999999997
2014-04-12,5,1,106,55,27,24,79,126.32,50.55,33.79,210.66
2014-04-13,6,1,101,51,28,22,70,25.79,7.38,13.59,46.760000000000005
2014-04-14,0,0,100,51,27,22,100,188.71,27.69,5.31,221.71
2014-04-15,1,0,100,52,26,22,100,122.13,34.17,19.47,175.77
2014-04-16,2,0,100,52,27,21,100,168.49,1.07,8.86,178.42000000000002
2014-04-17,3,0,98,51,26,21,98,109.7,51.19,22.42,183.31
2014-04-18,4,0,98,53,25,20,98,150.67,24.31,27.9,202.88
2014-04-19,5,1,99,55,24,20,66,101.18,14.62,29.38,145.18
2014-04-20,6,1,102,55,26,21,66,0.0,0.0,0.0,0.0
2014-04-21,0,0,101,53,27,21,101,92.94,22.32,5.8,121.05999999999999
2014-04-22,1,0,101,53,27,21,101,214.46,23.33,23.12,260.91
2014-04-23,2,0,100,54,25,21,100,165.35,20.2,25.94,211.48999999999998
